epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.102,0.87031,3.83612,1.4463,0.41882,0.41068,0.38564,0.29085,0.90122,2.16379,1.51301,3.195e-05,3.195e-05,3.195e-05
2,483.629,0.81102,2.3812,1.35895,0.48064,0.54522,0.52248,0.37812,0.96022,1.8258,1.55324,6.07845e-05,6.07845e-05,6.07845e-05
3,735.555,0.79824,2.00763,1.34307,0.55282,0.60348,0.6196,0.45518,0.93252,1.59691,1.49774,8.64509e-05,8.64509e-05,8.64509e-05
4,981.742,0.7975,1.80155,1.33296,0.59991,0.61217,0.65363,0.48924,0.88997,1.47438,1.47119,8.1744e-05,8.1744e-05,8.1744e-05
5,1236.26,0.77619,1.63059,1.31591,0.63962,0.64742,0.6982,0.52695,0.87932,1.32505,1.47967,7.6992e-05,7.6992e-05,7.6992e-05
6,1477.78,0.75541,1.49032,1.2995,0.67499,0.68115,0.73896,0.5492,0.89214,1.23944,1.47324,7.224e-05,7.224e-05,7.224e-05
7,1710.87,0.73183,1.3769,1.28146,0.72859,0.67311,0.76495,0.58062,0.87601,1.15968,1.44991,6.7488e-05,6.7488e-05,6.7488e-05
8,1954.08,0.72475,1.29141,1.27231,0.68833,0.70663,0.75652,0.57276,0.86816,1.1412,1.43021,6.2736e-05,6.2736e-05,6.2736e-05
9,2183.62,0.70994,1.20425,1.2593,0.73012,0.73275,0.80171,0.61678,0.82822,1.03884,1.4117,5.7984e-05,5.7984e-05,5.7984e-05
10,2429.33,0.69247,1.15235,1.24516,0.75311,0.71406,0.80046,0.61145,0.85385,0.98905,1.43308,5.3232e-05,5.3232e-05,5.3232e-05
11,2680.97,0.65955,0.96657,1.32239,0.72706,0.76595,0.80628,0.62236,0.83141,0.98076,1.41316,4.848e-05,4.848e-05,4.848e-05
12,2936.89,0.63533,0.84056,1.29949,0.74393,0.73782,0.80972,0.62144,0.84628,0.97394,1.43577,4.3728e-05,4.3728e-05,4.3728e-05
13,3166.17,0.61496,0.75375,1.27673,0.73203,0.74982,0.81076,0.62223,0.85022,0.95631,1.4332,3.8976e-05,3.8976e-05,3.8976e-05
14,3406.12,0.59335,0.68135,1.26077,0.77275,0.75828,0.82679,0.63705,0.83618,0.95189,1.41995,3.4224e-05,3.4224e-05,3.4224e-05
15,3644.8,0.57176,0.6199,1.2294,0.77092,0.7484,0.82658,0.63658,0.85441,0.93648,1.44561,2.9472e-05,2.9472e-05,2.9472e-05
16,3893.96,0.54871,0.56191,1.21152,0.77262,0.76842,0.83704,0.64441,0.84012,0.89737,1.44124,2.472e-05,2.472e-05,2.472e-05
17,4125.38,0.52937,0.51808,1.19193,0.7781,0.77219,0.83243,0.64192,0.84496,0.90195,1.45012,1.9968e-05,1.9968e-05,1.9968e-05
18,4362.21,0.5134,0.47802,1.17643,0.77951,0.78998,0.83916,0.64688,0.84639,0.88021,1.44965,1.5216e-05,1.5216e-05,1.5216e-05
19,4604.07,0.49164,0.43542,1.15627,0.79218,0.77836,0.84319,0.6487,0.85339,0.87459,1.46366,1.0464e-05,1.0464e-05,1.0464e-05
20,4860.35,0.48252,0.40892,1.14899,0.78472,0.78124,0.83832,0.64481,0.85337,0.86866,1.469,5.712e-06,5.712e-06,5.712e-06
